Years,Annual Avg,Deseasoned Avg,Stdev Months
1974,329.76375,330.34625,2.20378854
1975,331.1609091,331.0727273,1.943751293
1976,332.0266667,332.0283333,2.08561015
1977,333.8433333,333.8416667,1.931882423
1978,335.415,335.4133333,1.99501424
1979,336.8358333,336.8358333,1.83763909
1980,338.7625,338.765,1.871271444
1981,340.1191667,340.12,2.105989115
1982,341.4791667,341.4766667,2.151386269
1983,343.1525,343.1525,1.936093184
1984,344.6390909,344.8745455,1.963519567
1985,346.3516667,346.3508333,1.996983331
1986,347.6083333,347.6083333,1.834358116
1987,349.3125,349.3133333,1.800429873
1988,351.6908333,351.6908333,1.780860151
1989,353.205,353.205,1.978569272
1990,354.4533333,354.4516667,1.892378654
1991,355.7041667,355.7033333,2.343313343
1992,356.5441667,356.5458333,2.304432323
1993,357.2158333,357.2141667,2.033597164
1994,358.9591667,358.96,1.916656456
1995,360.9683333,360.9666667,1.953671757
1996,362.7433333,362.7433333,1.960669335
1997,363.8775,363.8766667,2.008577629
1998,366.84,366.8391667,1.790520493
1999,368.54,368.5408333,2.080349621
2000,369.7066667,369.7075,1.695434154
2001,371.3191667,371.3183333,1.89377189
2002,373.4525,373.4525,1.73540734
2003,375.9833333,375.9833333,1.840836437
2004,377.6983333,377.6975,2.110061754
2005,379.9833333,379.9825,1.987915003
2006,382.0908333,382.0891667,2.027064417
2007,384.025,384.0241667,1.958587153
2008,385.8308333,385.83,1.745208809
2009,387.6433333,387.6433333,1.876642715
2010,390.1016667,390.1016667,2.027290325
2011,391.8508333,391.8508333,1.737958355
2012,394.0558333,394.0558333,1.823774599
2013,396.7375,396.7383333,1.956230722
2014,398.8708333,398.87,2.062092751
2015,401.0125,401.0125,1.96790671
2016,404.4125,404.4141667,2.208718777
2017,406.7575,406.7575,2.030943019
2018,408.715,408.715,1.7877182
2019,411.6541667,411.6558333,1.940962546
2020,414.2383333,414.2358333,1.880946731
